tweet
"@kangdede78 Oooh demo mahasiswa ditunggangi bandit ya???🤣🤣🤣🤣🤣 ada data atau asbun kaya big data???🤣🤣🤣🤣🤣
Kalau 3 periode ditunggangi ga???,🤣🤣🤣🤣 
Kalau ga sebaris dibilang bandit, tp kalau sebaris ya aman dari komen asbun y🤣🤣🤣🤣🤣"
"Koordinator Media BEM SI Luthfi Yufrizal mengatakan sudah mengirimkan surat pemberitahuan rencana aksi ke Polda Metro Jaya, kemarin. https://t.co/KXEZSQPPTU lewat @SPOSTid 

#Demo #BEMSI #MahasiswaBergerak #SPOSTid"
@IstanaLurah Yg dulu bilang kangen di demo mahasiswa tolong bersikap sportif dan berani hadapi mahasiswa yg demo. Jgn minggat lagi.. Kalo anda minggat cap sebagai pembohong akan nambah permanen.
"Kata Aktivis, Demo Mahasiswa Sekarang Mirip Gerakan 98 yang Berangkat dari Penderitaan Rakyat - https://t.co/SF6HZPyGGP"
Gak harus takut dengan demo mahasiswa karena mereka dijamin oleh UU untuk beraspirasi mengeluarkan suara rakyat yg selama ini cukup terbungkam dan tidak didengar. #MahasiswaBergerak
"@msaid_didu sandiwara pun dimulai
dgn dalih demo mahasiswa bikin rusuh"
"@Helmi_Felis @DonAdam68 HAHAHAHAHA UNTUK PARA CEBONGER DAN BUZZERP,
TANDINGI DEMO MAHASISWA KALAU BISA, KITA LIHAT APAKAH BUZZERP DAN  CEBONGER BISA SEBANYAK MAHASISWA YANG DEMO DI INDONESIA PADA 11 APRIL BESOK. KALAU GA BISA NANDINGI MASA NYA, FIKS BERARTI CEBONGER DAN BUZZERP GA ADA MASA NYA."
"@msaid_didu HAHAHAHAHA UNTUK PARA CEBONGER DAN BUZZERP,
TANDINGI DEMO MAHASISWA KALAU BISA, KITA LIHAT APAKAH BUZZERP DAN  CEBONGER BISA SEBANYAK MAHASISWA YANG DEMO DI INDONESIA PADA 11 APRIL BESOK. KALAU GA BISA NANDINGI MASA NYA, FIKS BERARTI CEBONGER DAN BUZZERP GA ADA MASA NYA."
"Demo Mahasiswa di Makassar Didukung Emak-emak: Jangan Berhenti Nak, Turunkan Harga Minyak
https://t.co/iQmirC6iWp"
"@keuangannews_id HAHAHAHAHA UNTUK PARA CEBONGER DAN BUZZERP,
TANDINGI DEMO MAHASISWA KALAU BISA, KITA LIHAT APAKAH BUZZERP DAN  CEBONGER BISA SEBANYAK MAHASISWA YANG DEMO DI INDONESIA PADA 11 APRIL BESOK. KALAU GA BISA NANDINGI MASA NYA, FIKS BERARTI CEBONGER DAN BUZZERP GA ADA MASA NYA."
"Bubur singkrong melati  khas Segoro kiduL
Membuat sehat lambung,awet muda,wajah&amp; Kulit Bercahaya  Persiapan melek Untuk nambah energi ,buat jaga NKRI
Meredam demo mahasiswa yg di tumpang ngi kadrun...tgl 11 nanti
#SayaBersamaJokowi 
#PenjagaNKRI
@jokowi https://t.co/opH7spZdWV"
@sbyfess Soal demo mahasiswa
"Ancam Bubarkan Demo Mahasiswa, Polda Metro Jaya Acuhkan Pesan Kapolri saat Lomba Orasi
https://t.co/KJ2hKftyQk"
Menko Polhukam Gelar Rakor Hadapi Demo Mahasiswa 11 April 2022 https://t.co/WzyRGFLehW
"Banser Babelan: Tak Usah Ikut Demo Mahasiswa, Tidak Ada Manfaatnya: Pihak Barisan Ansor Serbaguna atau Banser Kecamatan Babelan, Kota Bekasi meminta masyarakat agar tak usah ikut demo BEM mahasiswa pada 11 April mendatang. https://t.co/YqJOpANs8N #News #demomahasiswa #banser"
@Sunset___17 Yg dulu bilang kangen di demo mahasiswa kemana ya sembunyi..
"@Candraasmara85 HAHAHAHAHA UNTUK PARA CEBONGER DAN BUZZERP,
TANDINGI DEMO MAHASISWA KALAU BISA, KITA LIHAT APAKAH BUZZERP DAN  CEBONGER BISA SEBANYAK MAHASISWA YANG DEMO DI INDONESIA PADA 11 APRIL BESOK. KALAU GA BISA NANDINGI MASA NYA, FIKS BERARTI CEBONGER DAN BUZZERP GA ADA MASA NYA."
@ekorudipriyant2 @ZPembayun Sekarang televisi nasional sudah menayangkan berita demo mahasiswa.
"@MoelyonovDjalil HAHAHAHAHA UNTUK PARA CEBONGER DAN BUZZERP,
TANDINGI DEMO MAHASISWA KALAU BISA, KITA LIHAT APAKAH BUZZERP DAN  CEBONGER BISA SEBANYAK MAHASISWA YANG DEMO DI INDONESIA PADA 11 APRIL BESOK. KALAU GA BISA NANDINGI MASA NYA, FIKS BERARTI CEBONGER DAN BUZZERP GA ADA MASA NYA."
"@DavidWijaya82 HAHAHAHAHA UNTUK PARA CEBONGER DAN BUZZERP,
TANDINGI DEMO MAHASISWA KALAU BISA, KITA LIHAT APAKAH BUZZERP DAN  CEBONGER BISA SEBANYAK MAHASISWA YANG DEMO DI INDONESIA PADA 11 APRIL BESOK. KALAU GA BISA NANDINGI MASA NYA, FIKS BERARTI CEBONGER DAN BUZZERP GA ADA MASA NYA."
"Demo Mahasiswa 11 April, Menkopolhukam Minta Aparat Keamanan dan Penegak Hukum Tidak Melakukan Kekerasan https://t.co/r3RMiNZqX2 #MahasiswaBergerak
#MahasiswaBergerak
CC Prof @mohmahfudmd https://t.co/jTgsszVGLp"
